Nick,4946,537,easy
Dima,3921,153,easy
nietlara,2955,440,easy
Keenan,12958,410,easy
Daniel,4993,168,easy
somaya,3894,1055,medium
hello,4961,386,easy
Annette,13969,304,easy
Velicia,14965,348,easy
Vlad,20000,69, hard
